"day","slot","scheduled_at_jst","type","theme","text","thread_json","cta","asset","claim_status"
"1","朝","2026-09-02 09:00 Asia/Tokyo","education","発信の土台","発信を始める前に決めたい3つ。

1. 誰の、どんな場面を助けるか
2. 読後に何を判断できるようにするか
3. 今回は扱わないことは何か

テーマを増やす前に、境界を決める。少人数運営ほど、この順番が効きます。","[]","保存","3項目チェックリスト画像（任意）","general_guidance"
"1","昼","2026-09-02 13:00 Asia/Tokyo","example_question","対象読者の具体化","たとえば、

「発信を教えます」より
「教材を作ったが、Xで何を投稿すればいいか決まらない人へ」

のほうが、読む理由が伝わりやすい。

あなたの発信は、誰のどの場面を切り取っていますか？","[]","問いかけ","テキストのみ","illustrative_example"
"1","夜","2026-09-02 20:00 Asia/Tokyo","build_log","一文説明の見直し","開発メモ。

商品名を考える前に、
「誰が、何を整理するための教材か」
を一文で書く。

次に、その一文とXのプロフィール、固定投稿、Telegramの案内文が同じ方向を向いているか確認する。まずはここから。","[]","なし","一文説明のメモ画像（任意）","process_note"
"2","朝","2026-09-03 09:00 Asia/Tokyo","checklist","顧客の言葉を集める","教材づくりの前に集めたい言葉。

・始める前に不安なこと
・途中で止まる理由
・すでに試した方法
・買う前に確認したいこと
・終わった後に自分で判断したいこと

想像で埋めず、実際の質問や返信から拾うのが基本です。","[]","保存","5項目チェックリスト画像（任意）","general_guidance"
"2","昼","2026-09-03 13:00 Asia/Tokyo","example_question","つまずきの順序","仮想例。

「投稿が続かない」の手前に、
「毎回テーマをゼロから決めている」
があるかもしれない。

表面の悩みではなく、その一つ前で何が起きていますか？","[]","問いかけ","テキストのみ","illustrative_example"
"2","夜","2026-09-03 20:00 Asia/Tokyo","build_log","FAQ仮説","開発メモ。

今夜はFAQを増やすのではなく、似た質問を3つの箱に分ける。

・内容が自分に合うか
・続けられるか
・購入後に何が起きるか

答えを作る前に、質問の種類を整理する。","[]","なし","FAQ分類図（任意）","process_note"
"3","朝","2026-09-04 09:00 Asia/Tokyo","checklist","商品仕様","販売前の商品仕様チェック。

□ 対象者
□ 扱う課題
□ 含む内容
□ 含まない内容
□ 提供形式
□ 質問できる範囲
□ 更新・返金の条件

魅力的な言葉より先に、購入後の認識差を減らす情報を揃える。","[]","保存","商品仕様チェックリスト画像（任意）","general_guidance"
"3","昼","2026-09-04 13:00 Asia/Tokyo","example_question","教材とコミュニティの違い","教材は、自分のペースで順序立てて学びたい人向け。
有料コミュニティは、他者の問いや対話も使って考えたい人向け。

同じテーマでも、必要な体験は違います。あなたの購入者には、どちらが合いそうですか？","[]","問いかけ","教材とコミュニティの比較図（任意）","general_guidance"
"3","夜","2026-09-04 20:00 Asia/Tokyo","sales_cta","二つの学び方","一人で順番に整理したい方には教材を。
対話しながら考えたい方には有料コミュニティを。

向いている進め方が違うので、案内ページでは内容と参加条件を分けて説明しています。気になる方はプロフィールからご確認ください。","[]","直接販売","教材・コミュニティ比較画像（任意）","offer_invitation_no_outcome_claim"
"4","朝","2026-09-05 09:00 Asia/Tokyo","education","XとTelegramの役割分担","XとTelegramは、同じ文章を流す場所ではありません。

X：新しい人に見つけてもらい、考え方を知ってもらう
Telegram：継続して読み、質問や案内を受け取ってもらう

役割を分けると、投稿ごとの目的が決めやすくなります。","[]","保存","2チャネル役割図（任意）","general_guidance"
