window,row_id,edge,confidence,resolve_horizon_days,liquidity,price,outcome
0,w0-r0,0.119,1.0,24,8811.31,0.462,1
0,w0-r1,0.082,3.2,9,5715.76,0.42,0
0,w0-r2,0.315,9.0,23,12791.7,0.586,1
0,w0-r3,0.347,10.0,14,3590.75,0.418,1
0,w0-r4,0.287,8.1,9,8066.74,0.578,1
0,w0-r5,0.185,6.7,23,11401.64,0.529,1
0,w0-r6,0.085,3.2,15,18930.39,0.632,0
0,w0-r7,0.194,5.7,14,19110.69,0.429,0
0,w0-r8,0.04,0.0,21,9586.84,0.638,0
0,w0-r9,0.064,1.1,19,7000.83,0.641,1
0,w0-r10,0.303,8.1,25,13670.89,0.449,1
0,w0-r11,0.225,7.9,27,10283.94,0.592,1
0,w0-r12,0.19,5.6,13,14148.32,0.395,0
0,w0-r13,0.227,6.8,27,12520.95,0.496,1
1,w1-r0,0.076,2.0,23,8620.5,0.484,1
1,w1-r1,0.141,5.3,17,4055.89,0.433,1
1,w1-r2,0.255,6.7,15,19099.94,0.562,1
1,w1-r3,0.072,1.2,11,12570.37,0.456,0
1,w1-r4,0.258,6.4,5,18169.63,0.649,1
1,w1-r5,0.067,4.0,17,17062.78,0.41,0
1,w1-r6,0.059,2.3,25,4652.41,0.61,0
1,w1-r7,0.276,9.9,14,15776.38,0.383,1
1,w1-r8,0.161,3.6,12,4553.32,0.408,1
1,w1-r9,0.071,0.5,8,4500.78,0.487,1
1,w1-r10,0.257,6.5,17,12976.27,0.586,0
1,w1-r11,0.023,0.0,7,15901.27,0.464,0
1,w1-r12,0.341,10.0,8,16357.78,0.648,1
1,w1-r13,0.227,6.6,18,3401.17,0.544,0
2,w2-r0,0.056,4.8,5,8920.93,0.385,0
2,w2-r1,0.148,1.9,9,13479.92,0.589,1
2,w2-r2,0.072,1.3,5,2500.22,0.374,1
2,w2-r3,0.161,3.7,17,2232.2,0.566,1
2,w2-r4,0.098,2.2,15,8993.59,0.485,0
2,w2-r5,0.336,10.0,21,780.16,0.481,0
2,w2-r6,0.025,0.8,13,2423.24,0.598,0
2,w2-r7,0.292,8.8,11,19628.39,0.451,1
2,w2-r8,0.343,10.0,7,8585.42,0.468,1
2,w2-r9,0.089,3.7,17,3861.88,0.586,1
2,w2-r10,0.025,1.1,23,7061.95,0.528,1
2,w2-r11,0.172,5.7,10,8480.96,0.498,1
2,w2-r12,0.083,1.7,5,9526.58,0.507,1
2,w2-r13,0.32,9.9,3,17541.22,0.36,0
3,w3-r0,0.333,8.8,15,5093.7,0.44,0
3,w3-r1,0.295,8.3,25,6423.67,0.468,1
3,w3-r2,0.238,7.2,23,18771.58,0.614,1
3,w3-r3,0.328,10.0,4,11857.95,0.452,1
3,w3-r4,0.299,9.3,7,13501.09,0.383,0
3,w3-r5,0.021,1.4,19,784.48,0.643,1
3,w3-r6,0.206,4.7,22,2451.74,0.514,1
3,w3-r7,0.093,1.6,4,8463.48,0.451,1
3,w3-r8,0.278,9.4,22,15760.36,0.486,1
3,w3-r9,0.035,2.0,19,4264.7,0.63,1
3,w3-r10,0.142,4.2,26,1400.49,0.37,0
3,w3-r11,0.057,0.5,21,11281.47,0.543,1
3,w3-r12,0.124,3.5,19,14339.91,0.462,0
3,w3-r13,0.18,5.2,13,2136.63,0.49,1
4,w4-r0,0.132,3.7,11,11988.76,0.623,1
4,w4-r1,0.042,3.2,8,17362.3,0.402,0
4,w4-r2,0.057,2.7,4,15485.54,0.613,1
4,w4-r3,0.168,4.6,25,4279.87,0.408,1
4,w4-r4,0.04,2.0,15,5792.49,0.455,0
4,w4-r5,0.191,5.7,12,10576.0,0.616,1
4,w4-r6,0.108,4.0,8,18316.53,0.401,1
4,w4-r7,0.296,9.1,17,11510.78,0.419,1
4,w4-r8,0.148,2.5,23,5280.2,0.55,0
4,w4-r9,0.09,1.8,28,5149.78,0.449,1
4,w4-r10,0.056,3.1,27,16122.64,0.496,1
4,w4-r11,0.068,1.7,6,1173.61,0.506,1
4,w4-r12,0.282,8.0,24,734.74,0.401,0
4,w4-r13,0.041,1.1,5,9031.64,0.624,0
5,w5-r0,0.16,6.6,15,9871.74,0.585,0
5,w5-r1,0.26,5.7,14,829.8,0.385,0
5,w5-r2,0.14,3.0,25,14074.43,0.512,0
5,w5-r3,0.28,9.9,16,16010.74,0.413,0
5,w5-r4,0.038,0.6,21,9504.56,0.482,0
5,w5-r5,0.21,5.8,22,6090.59,0.62,0
5,w5-r6,0.252,8.2,24,15308.87,0.626,1
5,w5-r7,0.309,8.8,18,10942.74,0.454,1
5,w5-r8,0.267,7.5,9,10079.21,0.475,1
5,w5-r9,0.215,5.2,11,4020.84,0.549,1
5,w5-r10,0.145,4.9,6,8694.58,0.518,0
5,w5-r11,0.257,9.8,20,16830.61,0.455,0
5,w5-r12,0.151,3.9,18,6523.2,0.53,1
5,w5-r13,0.094,1.7,21,10815.42,0.433,0
